Emotion,Round,Condition,Location,Mean_Pressure,Max_Pressure,Pressure_Variance,Pressure_Gradient,Median_Force,Contact_Area,Rate_of_Pressure_Change,Pressure_Std,Num_Touches,Max_Touch_Duration,Min_Touch_Duration,Mean_Touch_Duration,Estimated_Sampling_Rate,Max_Touch_Area,PN
Gratitude,round2,torso,torso,6.325577448937978,10.60313129147724,1.6143788326889237,0.1836208986714752,5.969495335119566,0,0.1836208986714752,1.27058208419957,2,0.044,0.044,0.044,22.727272727272727,0,22
Happiness,round3,torso,torso,6.189449813572511,10.940221799746842,1.3187953953031282,0.1687921029593765,5.744457937351188,0,0.1687921029593765,1.1483881727461007,1,0.0367892976588628,0.0367892976588628,0.0367892976588628,27.181818181818183,0,22
Comfort,round2,torso,torso,6.3885154224959,12.61830890062559,2.164820826804776,0.1713071570355194,5.849968299750627,1,0.1713071570355194,1.4713330101662152,6,0.0698412698412698,0.0349206349206349,0.0465608465608465,28.63636363636364,1,22
attention,round1,torso,torso,6.092037512359701,13.269722843473092,2.2542534473256013,0.1699324496866724,5.623800744947175,1,0.1699324496866724,1.501417146340617,2,0.0802919708029197,0.0401459854014598,0.0602189781021897,24.90909090909091,1,22
Love,round3,torso,torso,5.961731211861451,10.194260647493884,1.204943791025625,0.1827491566107139,5.623692226567863,0,0.1827491566107139,1.097699317220169,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,23,0,22
Comfort,round1,torso,torso,5.722517519668679,8.286789855089367,0.4408578091680932,0.1739526141646885,5.585743558335061,0,0.1739526141646885,0.663971241220652,0,0,0,0,27.272727272727277,0,22
Happiness,round2,torso,torso,6.092604220267812,12.651071954021305,2.310420528632138,0.1752052387921905,5.573178033743322,1,0.1752052387921905,1.5200067528245191,2,0.074074074074074,0.037037037037037,0.0555555555555555,27,1,22
Comfort,round3,torso,torso,5.842711308977273,9.291792171729885,0.9163937672866808,0.1677231672624599,5.398962483087491,0,0.1677231672624599,0.9572845800944884,0,0,0,0,28.363636363636363,0,22
Gratitude,round1,torso,torso,5.709001889871022,8.184768760804193,0.4798374718092591,0.1857890146808579,5.550657972259126,0,0.1857890146808579,0.6927030184785246,0,0,0,0,21.272727272727277,0,22
Love,round2,torso,torso,6.663946106862821,13.98075255578076,2.393756190538541,0.1767477651751375,6.197982066893423,1,0.1767477651751375,1.5471768452696484,4,0.081180811808118,0.040590405904059,0.0608856088560885,24.63636363636364,1,22
